"","year","all_hits","query_hits"
"1",1900,3247,0
"2",1901,3299,0
"3",1902,3389,0
"4",1903,3541,0
"5",1904,3719,0
"6",1905,3744,0
"7",1906,3622,0
"8",1907,3945,0
"9",1908,4300,0
"10",1909,4637,0
"11",1910,4730,0
"12",1911,4893,0
"13",1912,4813,0
"14",1913,5096,0
"15",1914,5111,0
"16",1915,4575,0
"17",1916,4390,0
"18",1917,4153,0
"19",1918,4166,0
"20",1919,4539,0
"21",1920,5130,0
"22",1921,4776,1
"23",1922,4264,0
"24",1923,4579,0
"25",1924,4992,0
"26",1925,5093,0
"27",1926,5427,0
"28",1927,5980,0
"29",1928,5579,0
"30",1929,5831,0
"31",1930,5733,0
"32",1931,5608,0
"33",1932,5671,0
"34",1933,5724,0
"35",1934,5607,0
"36",1935,5769,0
"37",1936,5496,1
"38",1937,5428,2
"39",1938,5874,0
"40",1939,5661,2
"41",1940,5073,0
"42",1941,4918,0
"43",1942,4843,0
"44",1943,4561,1
"45",1944,4791,3
"46",1945,20513,0
"47",1946,53932,2
"48",1947,65050,0
"49",1948,70757,1
"50",1949,62826,2
"51",1950,85792,3
"52",1951,103821,3
"53",1952,108182,1
"54",1953,108924,6
"55",1954,105942,1
"56",1955,108562,0
"57",1956,107015,3
"58",1957,111528,4
"59",1958,109467,3
"60",1959,110000,2
"61",1960,112222,8
"62",1961,120180,9
"63",1962,125694,6
"64",1963,141540,13
"65",1964,162110,9
"66",1965,176737,16
"67",1966,180184,11
"68",1967,192077,31
"69",1968,208156,30
"70",1969,215346,36
"71",1970,219424,85
"72",1971,223657,140
"73",1972,227869,231
"74",1973,231126,400
"75",1974,235108,556
"76",1975,249189,807
"77",1976,254972,1023
"78",1977,262188,1343
"79",1978,272567,1808
"80",1979,282099,2213
"81",1980,280653,2571
"82",1981,283632,3082
"83",1982,295764,3642
"84",1983,309519,4262
"85",1984,318240,4823
"86",1985,335397,5304
"87",1986,349745,5947
"88",1987,367984,6377
"89",1988,387053,7235
"90",1989,402801,7752
"91",1990,410616,8371
"92",1991,413175,9102
"93",1992,418029,9605
"94",1993,426731,10078
"95",1994,438285,10788
"96",1995,449115,11297
"97",1996,458580,12206
"98",1997,456804,12579
"99",1998,474672,13503
"100",1999,493822,13482
"101",2000,532083,13790
"102",2001,545691,13872
"103",2002,561446,14212
"104",2003,588584,14986
"105",2004,628181,16661
"106",2005,682373,19711
"107",2006,704802,22870
"108",2007,724185,27505
"109",2008,761911,40905
"110",2009,793139,46208
"111",2010,851065,49601
"112",2011,904827,52722
"113",2012,945971,55762
"114",2013,1003928,58757
"115",2014,1055510,56608
"116",2015,1095946,53737
"117",2016,1116306,50531
"118",2017,1137802,48967
"119",2018,1174870,44999
"120",2019,1236942,42743
"121",2020,1441553,45180
"122",2021,1529869,39252
